year,week,dead,excess,not_u_to_y,not_v_to_y
2018,01,326,,389,389
2018,02,372,,420,420
2018,03,396,,447,447
2018,04,441,,505,505
2018,05,429,,481,481
2018,06,383,,440,440
2018,07,405,,460,460
2018,08,383,9.06,431,431
2018,09,360,6.78,416,416
2018,10,399,-2.32,458,458
2018,11,373,-11.16,419,419
2018,12,399,-12.58,457,457
2018,13,376,-15.45,414,414
2018,14,347,-17.42,415,415
2018,15,364,-12.77,406,406
2018,16,395,-11.94,459,459
2018,17,349,-13.33,409,409
2018,18,356,-11.37,417,417
2018,19,404,-12.55,462,462
2018,20,346,-13.40,399,399
2018,21,348,-12.28,409,409
2018,22,365,-17.35,417,417
2018,23,347,-20.60,396,396
2018,24,357,-18.49,403,403
2018,25,372,-22.22,428,428
2018,26,348,-20.45,399,399
2018,27,388,-13.64,451,451
2018,28,388,-11.63,437,437
2018,29,381,-8.15,413,413
2018,30,371,-5.86,428,428
2018,31,335,-9.49,394,394
2018,32,345,-9.36,394,394
2018,33,364,-8.83,415,415
2018,34,393,-9.81,450,450
2018,35,375,-9.94,430,430
2018,36,369,-11.12,425,425
2018,37,376,-6.45,429,429
2018,38,397,1.00,464,464
2018,39,400,3.30,454,454
2018,40,359,1.79,427,427
2018,41,375,2.91,438,438
2018,42,393,5.96,447,447
2018,43,373,6.98,440,440
2018,44,370,3.67,432,432
2018,45,352,1.35,419,419
2018,46,384,0.75,439,439
2018,47,358,-3.11,414,414
2018,48,320,-9.38,387,387
2018,49,350,-12.84,408,408
2018,50,346,-15.47,407,407
2018,51,346,-15.17,413,413
2018,52,381,-15.18,436,436
2019,01,353,-13.79,419,419
2019,02,355,-9.69,394,394
2019,03,352,-8.07,409,409
2019,04,334,-4.23,386,386
2019,05,386,0.28,426,426
2019,06,392,-3.85,445,445
2019,07,384,-10.69,426,426
2019,08,368,-7.40,418,418
2019,09,415,-5.92,471,471
2019,10,380,-5.04,442,442
2019,11,370,-2.15,422,422
2019,12,389,-1.80,440,440
2019,13,364,-3.71,420,420
2019,14,336,-0.43,392,392
2019,15,365,-1.11,433,433
2019,16,387,-5.02,433,433
2019,17,358,-4.37,401,401
2019,18,384,-5.54,430,430
2019,19,368,-5.32,415,415
2019,20,376,-2.28,428,428
2019,21,364,0.62,420,420
2019,22,396,1.12,444,444
2019,23,379,6.61,434,434
2019,24,392,4.69,443,443
2019,25,338,4.74,389,389
2019,26,373,2.37,419,419
2019,27,335,-0.83,393,393
2019,28,354,-5.10,392,392
2019,29,359,-5.64,408,408
2019,30,377,-10.80,431,431
2019,31,337,-9.56,382,382
2019,32,355,-6.37,423,423
2019,33,367,-5.45,424,424
2019,34,365,-4.75,408,408
2019,35,357,-5.62,395,395
2019,36,359,-10.61,407,407
2019,37,370,-8.85,406,406
2019,38,378,-12.39,429,429
2019,39,329,-17.91,389,389
2019,40,335,-20.89,397,397
2019,41,363,-17.39,397,397
2019,42,378,-17.34,431,431
2019,43,340,-21.97,390,390
2019,44,320,-23.38,364,364
2019,45,373,-17.68,418,418
2019,46,382,-11.74,440,440
2019,47,363,-9.11,418,418
2019,48,343,-11.00,406,406
2019,49,347,-6.29,399,399
2019,50,378,0.67,432,432
2019,51,351,3.13,425,425
2019,52,355,7.19,417,417
2020,01,383,15.84,441,441
2020,02,377,25.69,433,433
2020,03,393,34.74,452,452
2020,04,372,40.56,426,426
2020,05,379,45.04,423,423
2020,06,417,40.76,469,469
2020,07,351,31.67,419,419
2020,08,357,27.88,401,401
2020,09,398,18.15,456,456
2020,10,349,8.23,394,394
2020,11,340,7.46,389,389
2020,12,373,2.27,422,423
2020,13,354,-3.80,399,401
2020,14,306,-5.96,351,352
2020,15,351,-14.28,389,391
2020,16,308,-18.67,350,350
2020,17,329,-22.29,378,381
2020,18,305,-23.82,345,346
2020,19,344,-21.81,395,398
2020,20,366,-16.55,422,423
2020,21,355,-12.56,401,401
2020,22,332,-6.42,394,395
2020,23,363,-0.88,411,413
2020,24,341,6.11,391,392
2020,25,356,3.83,408,409
2020,26,313,2.09,354,358
2020,27,354,2.24,407,408
2020,28,331,-1.63,397,399
2020,29,314,-4.79,356,357
2020,30,330,-9.14,383,384
2020,31,302,-9.96,350,352
2020,32,337,-11.90,405,406
2020,33,300,-19.09,350,351
2020,34,305,-23.28,348,350
2020,35,315,-22.90,370,370
2020,36,336,-23.24,378,378
2020,37,326,-20.57,385,387
2020,38,339,-26.45,395,395
2020,39,295,-26.75,354,355
2020,40,319,-23.11,366,368
2020,41,332,-22.25,388,389
2020,42,316,-25.85,373,373
2020,43,277,-25.86,334,336
2020,44,347,-24.09,388,389
2020,45,339,-22.31,401,403
2020,46,324,-17.35,372,373
2020,47,312,-22.50,384,385
2020,48,291,-26.18,337,337
2020,49,276,-21.03,334,336
2020,50,327,-25.00,385,387
2020,51,298,-31.33,348,350
2020,52,286,-28.59,349,352
2020,53,333,-23.93,388,392
2021,01,299,-14.40,354,357
2021,02,331,-6.84,386,387
2021,03,320,3.91,369,369
2021,04,366,7.71,415,416
2021,05,298,9.40,352,355
2021,06,317,5.29,375,377
2021,07,336,4.49,383,384
2021,08,355,-4.19,404,407
2021,09,287,-9.91,348,350
2021,10,326,-17.51,372,372
2021,11,296,-9.62,358,359
2021,12,370,-4.74,429,432
2021,13,296,-2.73,354,356
2021,14,377,3.17,436,439
2021,15,326,10.19,382,382
2021,16,335,15.88,384,389
2021,17,352,21.21,399,400
2021,18,338,24.37,403,403
2021,19,371,26.49,425,426
2021,20,347,21.73,398,398
2021,21,316,24.20,377,378
2021,22,349,23.59,406,409
2021,23,325,20.76,385,386
2021,24,311,18.86,365,366
2021,25,328,15.36,382,385
2021,26,328,13.00,395,396
2021,27,314,12.04,372,373
2021,28,311,13.52,361,362
2021,29,344,15.99,410,412
2021,30,350,17.13,402,403
2021,31,315,18.59,362,366
2021,32,316,22.45,381,385
2021,33,361,24.48,428,434
2021,34,316,26.91,374,381
2021,35,333,26.07,381,391
2021,36,345,28.20,399,408
2021,37,361,32.65,418,428
2021,38,336,36.15,397,403
2021,39,357,34.06,423,428
2021,40,357,35.09,423,427
2021,41,324,37.84,381,387
2021,42,366,33.58,421,423
2021,43,324,30.15,375,376
2021,44,328,29.15,385,390
2021,45,330,26.64,395,398
2021,46,332,28.19,396,397
2021,47,359,29.67,427,428
2021,48,322,32.83,386,390
2021,49,365,36.92,427,431
2021,50,352,39.05,417,419
2021,51,324,40.58,393,396
2021,52,322,44.42,396,406
2022,01,338,47.25,390,398
2022,02,336,52.48,390,407
2022,03,323,51.89,381,400
2022,04,331,48.70,386,397
2022,05,319,43.47,361,365
2022,06,323,39.62,369,372
2022,07,334,38.31,385,395
2022,08,378,30.25,439,445
2022,09,324,24.95,370,373
2022,10,321,27.93,371,374
2022,11,367,31.77,439,443
2022,12,322,34.71,376,382
2022,13,332,32.18,391,391
2022,14,305,32.38,358,359
2022,15,339,39.26,404,407
2022,16,361,41.63,420,422
2022,17,343,38.18,388,388
2022,18,332,44.11,392,396
2022,19,360,49.49,417,420
2022,20,363,54.38,416,425
2022,21,353,55.73,399,401
2022,22,350,57.24,416,417
2022,23,352,60.99,425,428
2022,24,354,64.82,395,399
2022,25,371,64.94,428,429
2022,26,370,64.10,416,419
2022,27,348,66.73,396,400
2022,28,353,65.83,419,422
2022,29,351,69.40,392,400
2022,30,366,74.60,429,430
2022,31,395,72.72,448,459
2022,32,344,74.12,401,404
2022,33,359,75.82,416,421
2022,34,351,74.39,421,427
2022,35,330,74.97,397,407
2022,36,349,70.27,412,417
2022,37,372,64.45,426,431
2022,38,332,63.37,393,396
2022,39,353,59.54,414,419
2022,40,324,61.51,391,395
