year,month,age,dead
2018,01,0,1769
2018,01,1,101
2018,01,2,61
2018,01,3,47
2018,01,4,24
2018,01,5,26
2018,01,6,31
2018,01,7,33
2018,01,8,29
2018,01,9,37
2018,01,10,29
2018,01,11,28
2018,01,12,21
2018,01,13,28
2018,01,14,45
2018,01,15,37
2018,01,16,47
2018,01,17,31
2018,01,18,59
2018,01,19,53
2018,01,20,51
2018,01,21,66
2018,01,22,63
2018,01,23,91
2018,01,24,87
2018,01,25,106
2018,01,26,146
2018,01,27,162
2018,01,28,159
2018,01,29,183
2018,01,30,205
2018,01,31,223
2018,01,32,208
2018,01,33,251
2018,01,34,286
2018,01,35,294
2018,01,36,320
2018,01,37,350
2018,01,38,377
2018,01,39,414
2018,01,40,424
2018,01,41,406
2018,01,42,505
2018,01,43,577
2018,01,44,559
2018,01,45,735
2018,01,46,843
2018,01,47,921
2018,01,48,1014
2018,01,49,1108
2018,01,50,1244
2018,01,51,1414
2018,01,52,1564
2018,01,53,1817
2018,01,54,2080
2018,01,55,2253
2018,01,56,2576
2018,01,57,2760
2018,01,58,3109
2018,01,59,3203
2018,01,60,3417
2018,01,61,3627
2018,01,62,3839
2018,01,63,4131
2018,01,64,4199
2018,01,65,4350
2018,01,66,4523
2018,01,67,4639
2018,01,68,4847
2018,01,69,5081
2018,01,70,5722
2018,01,71,5724
2018,01,72,4972
2018,01,73,5511
2018,01,74,5883
2018,01,75,6257
2018,01,76,6015
2018,01,77,6117
2018,01,78,6050
2018,01,79,6551
2018,01,80,6626
2018,01,81,6873
2018,01,82,7277
2018,01,83,7385
2018,01,84,7308
2018,01,85,7841
2018,01,86,7838
2018,01,87,8134
2018,01,88,8010
2018,01,89,8027
2018,01,90,7920
2018,01,91,7420
2018,01,92,6857
2018,01,93,6452
2018,01,94,5385
2018,01,95,4601
2018,01,96,4013
2018,01,97,3134
2018,01,98,2252
2018,01,99,1666
2018,01,100,3248
2018,02,0,1539
2018,02,1,93
2018,02,2,45
2018,02,3,36
2018,02,4,31
2018,02,5,22
2018,02,6,30
2018,02,7,28
2018,02,8,26
2018,02,9,25
2018,02,10,25
2018,02,11,24
2018,02,12,24
2018,02,13,30
2018,02,14,27
2018,02,15,32
2018,02,16,25
2018,02,17,43
2018,02,18,32
2018,02,19,48
2018,02,20,58
2018,02,21,62
2018,02,22,75
2018,02,23,65
2018,02,24,95
2018,02,25,84
2018,02,26,102
2018,02,27,120
2018,02,28,142
2018,02,29,122
2018,02,30,160
2018,02,31,165
2018,02,32,190
2018,02,33,195
2018,02,34,221
2018,02,35,252
2018,02,36,268
2018,02,37,307
2018,02,38,329
2018,02,39,320
2018,02,40,332
2018,02,41,380
2018,02,42,432
2018,02,43,479
2018,02,44,539
2018,02,45,599
2018,02,46,738
2018,02,47,774
2018,02,48,886
2018,02,49,926
2018,02,50,999
2018,02,51,1146
2018,02,52,1268
2018,02,53,1546
2018,02,54,1773
2018,02,55,2021
2018,02,56,2097
2018,02,57,2363
2018,02,58,2516
2018,02,59,2805
2018,02,60,2916
2018,02,61,3031
2018,02,62,3209
2018,02,63,3403
2018,02,64,3455
2018,02,65,3698
2018,02,66,3884
2018,02,67,3851
2018,02,68,3975
2018,02,69,4362
2018,02,70,4747
2018,02,71,4838
2018,02,72,4280
2018,02,73,4542
2018,02,74,4966
2018,02,75,5280
2018,02,76,5012
2018,02,77,4962
2018,02,78,5196
2018,02,79,5571
2018,02,80,5432
2018,02,81,5650
2018,02,82,5763
2018,02,83,6111
2018,02,84,6009
2018,02,85,6300
2018,02,86,6343
2018,02,87,6584
2018,02,88,6571
2018,02,89,6544
2018,02,90,6212
2018,02,91,5949
2018,02,92,5408
2018,02,93,4933
2018,02,94,4307
2018,02,95,3718
2018,02,96,3194
2018,02,97,2519
2018,02,98,1774
2018,02,99,1262
2018,02,100,2563
2018,03,0,1717
2018,03,1,82
2018,03,2,61
2018,03,3,31
2018,03,4,30
2018,03,5,22
2018,03,6,26
2018,03,7,18
2018,03,8,36
2018,03,9,24
2018,03,10,25
2018,03,11,38
2018,03,12,37
2018,03,13,22
2018,03,14,30
2018,03,15,34
2018,03,16,43
2018,03,17,39
2018,03,18,49
2018,03,19,61
2018,03,20,46
2018,03,21,59
2018,03,22,80
2018,03,23,77
2018,03,24,95
2018,03,25,98
2018,03,26,108
2018,03,27,150
2018,03,28,147
2018,03,29,136
2018,03,30,174
2018,03,31,179
2018,03,32,216
2018,03,33,202
2018,03,34,248
2018,03,35,277
2018,03,36,288
2018,03,37,316
2018,03,38,348
2018,03,39,359
2018,03,40,388
2018,03,41,420
2018,03,42,425
2018,03,43,489
2018,03,44,564
2018,03,45,587
2018,03,46,772
2018,03,47,855
2018,03,48,892
2018,03,49,985
2018,03,50,1105
2018,03,51,1184
2018,03,52,1405
2018,03,53,1633
2018,03,54,1848
2018,03,55,1985
2018,03,56,2201
2018,03,57,2483
2018,03,58,2678
2018,03,59,2943
2018,03,60,3139
2018,03,61,3269
2018,03,62,3467
2018,03,63,3750
2018,03,64,3796
2018,03,65,3862
2018,03,66,3922
2018,03,67,4077
2018,03,68,4311
2018,03,69,4526
2018,03,70,5028
2018,03,71,5217
2018,03,72,4279
2018,03,73,4752
2018,03,74,5107
2018,03,75,5636
2018,03,76,5287
2018,03,77,5241
2018,03,78,5353
2018,03,79,5587
2018,03,80,5794
2018,03,81,5828
2018,03,82,6097
2018,03,83,6203
2018,03,84,6258
2018,03,85,6470
2018,03,86,6629
2018,03,87,6830
2018,03,88,6856
2018,03,89,6710
2018,03,90,6619
2018,03,91,6116
2018,03,92,5632
2018,03,93,5175
2018,03,94,4559
2018,03,95,3836
2018,03,96,3164
2018,03,97,2458
2018,03,98,1876
2018,03,99,1314
2018,03,100,2550
2018,04,0,1639
2018,04,1,63
2018,04,2,32
2018,04,3,24
2018,04,4,15
2018,04,5,29
2018,04,6,22
2018,04,7,20
2018,04,8,24
2018,04,9,25
2018,04,10,36
2018,04,11,19
2018,04,12,34
2018,04,13,30
2018,04,14,24
2018,04,15,39
2018,04,16,24
2018,04,17,30
2018,04,18,46
2018,04,19,43
2018,04,20,51
2018,04,21,53
2018,04,22,72
2018,04,23,77
2018,04,24,93
2018,04,25,83
2018,04,26,102
2018,04,27,123
2018,04,28,146
2018,04,29,158
2018,04,30,152
2018,04,31,184
2018,04,32,177
2018,04,33,195
2018,04,34,212
2018,04,35,263
2018,04,36,277
2018,04,37,271
2018,04,38,318
2018,04,39,345
2018,04,40,372
2018,04,41,395
2018,04,42,398
2018,04,43,473
2018,04,44,511
2018,04,45,609
2018,04,46,685
2018,04,47,766
2018,04,48,847
2018,04,49,980
2018,04,50,967
2018,04,51,1164
2018,04,52,1384
2018,04,53,1451
2018,04,54,1724
2018,04,55,1911
2018,04,56,2139
2018,04,57,2313
2018,04,58,2479
2018,04,59,2692
2018,04,60,2891
2018,04,61,3050
2018,04,62,3278
2018,04,63,3407
2018,04,64,3509
2018,04,65,3644
2018,04,66,3783
2018,04,67,3918
2018,04,68,4019
2018,04,69,4322
2018,04,70,4664
2018,04,71,4998
2018,04,72,4100
2018,04,73,4520
2018,04,74,4946
2018,04,75,5379
2018,04,76,5033
2018,04,77,4916
2018,04,78,4952
2018,04,79,5151
2018,04,80,5391
2018,04,81,5372
2018,04,82,5820
2018,04,83,5952
2018,04,84,5732
2018,04,85,6091
2018,04,86,6151
2018,04,87,6260
2018,04,88,6344
2018,04,89,6188
2018,04,90,6119
2018,04,91,5805
2018,04,92,5177
2018,04,93,4675
2018,04,94,4179
2018,04,95,3467
2018,04,96,2893
2018,04,97,2214
2018,04,98,1689
2018,04,99,1188
2018,04,100,2455
2018,05,0,1643
2018,05,1,85
2018,05,2,44
2018,05,3,37
2018,05,4,30
2018,05,5,25
2018,05,6,27
2018,05,7,18
2018,05,8,22
2018,05,9,27
2018,05,10,25
2018,05,11,28
2018,05,12,20
2018,05,13,28
2018,05,14,30
2018,05,15,34
2018,05,16,31
2018,05,17,44
2018,05,18,39
2018,05,19,56
2018,05,20,56
2018,05,21,44
2018,05,22,75
2018,05,23,84
2018,05,24,99
2018,05,25,99
2018,05,26,124
2018,05,27,109
2018,05,28,142
2018,05,29,159
2018,05,30,165
2018,05,31,180
2018,05,32,221
2018,05,33,233
2018,05,34,231
2018,05,35,238
2018,05,36,275
2018,05,37,316
2018,05,38,319
2018,05,39,358
2018,05,40,382
2018,05,41,399
2018,05,42,419
2018,05,43,470
2018,05,44,553
2018,05,45,596
2018,05,46,689
2018,05,47,839
2018,05,48,852
2018,05,49,919
2018,05,50,1000
2018,05,51,1143
2018,05,52,1288
2018,05,53,1522
2018,05,54,1664
2018,05,55,1861
2018,05,56,2096
2018,05,57,2366
2018,05,58,2471
2018,05,59,2635
2018,05,60,3018
2018,05,61,3099
2018,05,62,3077
2018,05,63,3483
2018,05,64,3569
2018,05,65,3528
2018,05,66,3723
2018,05,67,3819
2018,05,68,4029
2018,05,69,4215
2018,05,70,4470
2018,05,71,5039
2018,05,72,4138
2018,05,73,4354
2018,05,74,4679
2018,05,75,5217
2018,05,76,4814
2018,05,77,5002
2018,05,78,4953
2018,05,79,5151
2018,05,80,5245
2018,05,81,5289
2018,05,82,5582
2018,05,83,5669
2018,05,84,5555
2018,05,85,5850
2018,05,86,6029
2018,05,87,6045
2018,05,88,5922
2018,05,89,5859
2018,05,90,5902
2018,05,91,5328
2018,05,92,4883
2018,05,93,4522
2018,05,94,3887
2018,05,95,3357
2018,05,96,2735
2018,05,97,2171
2018,05,98,1541
2018,05,99,1128
2018,05,100,2240
2018,06,0,1577
2018,06,1,57
2018,06,2,39
2018,06,3,31
2018,06,4,27
2018,06,5,22
2018,06,6,24
2018,06,7,12
2018,06,8,16
2018,06,9,21
2018,06,10,24
2018,06,11,19
2018,06,12,29
2018,06,13,18
2018,06,14,26
2018,06,15,33
2018,06,16,29
2018,06,17,51
2018,06,18,59
2018,06,19,45
2018,06,20,50
2018,06,21,71
2018,06,22,56
2018,06,23,61
2018,06,24,82
2018,06,25,85
2018,06,26,117
2018,06,27,114
2018,06,28,144
2018,06,29,145
2018,06,30,155
2018,06,31,171
2018,06,32,185
2018,06,33,205
2018,06,34,176
2018,06,35,259
2018,06,36,274
2018,06,37,293
2018,06,38,336
2018,06,39,391
2018,06,40,350
2018,06,41,378
2018,06,42,410
2018,06,43,472
2018,06,44,483
2018,06,45,543
2018,06,46,672
2018,06,47,808
2018,06,48,820
2018,06,49,922
2018,06,50,1022
2018,06,51,1105
2018,06,52,1230
2018,06,53,1444
2018,06,54,1688
2018,06,55,1810
2018,06,56,2039
2018,06,57,2392
2018,06,58,2444
2018,06,59,2581
2018,06,60,2776
2018,06,61,3052
2018,06,62,3076
2018,06,63,3339
2018,06,64,3380
2018,06,65,3502
2018,06,66,3578
2018,06,67,3736
2018,06,68,3755
2018,06,69,3991
2018,06,70,4286
2018,06,71,4912
2018,06,72,3909
2018,06,73,4268
2018,06,74,4639
2018,06,75,4870
2018,06,76,4678
2018,06,77,4632
2018,06,78,4692
2018,06,79,4703
2018,06,80,5029
2018,06,81,4966
2018,06,82,5282
2018,06,83,5348
2018,06,84,5302
2018,06,85,5603
2018,06,86,5587
2018,06,87,5848
2018,06,88,5763
2018,06,89,5532
2018,06,90,5494
2018,06,91,5085
2018,06,92,4694
2018,06,93,4235
2018,06,94,3665
2018,06,95,3164
2018,06,96,2568
2018,06,97,2060
2018,06,98,1499
2018,06,99,1045
2018,06,100,2208
2018,07,0,1686
2018,07,1,71
2018,07,2,36
2018,07,3,29
2018,07,4,31
2018,07,5,22
2018,07,6,21
2018,07,7,18
2018,07,8,16
2018,07,9,16
2018,07,10,19
2018,07,11,29
2018,07,12,25
2018,07,13,24
2018,07,14,32
2018,07,15,54
2018,07,16,40
2018,07,17,47
2018,07,18,53
2018,07,19,34
2018,07,20,61
2018,07,21,63
2018,07,22,76
2018,07,23,77
2018,07,24,83
2018,07,25,98
2018,07,26,107
2018,07,27,121
2018,07,28,137
2018,07,29,160
2018,07,30,171
2018,07,31,170
2018,07,32,177
2018,07,33,246
2018,07,34,229
2018,07,35,272
2018,07,36,282
2018,07,37,314
2018,07,38,301
2018,07,39,381
2018,07,40,397
2018,07,41,395
2018,07,42,432
2018,07,43,476
2018,07,44,492
2018,07,45,582
2018,07,46,700
2018,07,47,820
2018,07,48,893
2018,07,49,941
2018,07,50,1037
2018,07,51,1163
2018,07,52,1298
2018,07,53,1490
2018,07,54,1688
2018,07,55,1932
2018,07,56,2094
2018,07,57,2272
2018,07,58,2446
2018,07,59,2639
2018,07,60,2884
2018,07,61,3152
2018,07,62,3208
2018,07,63,3392
2018,07,64,3417
2018,07,65,3577
2018,07,66,3678
2018,07,67,3733
2018,07,68,3784
2018,07,69,4221
