code,type,year,month,dead
I21+I22+I46+I50,ucd,1999,01,318
I21+I22+I46+I50,ucd,1999,02,323
I21+I22+I46+I50,ucd,1999,03,282
I21+I22+I46+I50,ucd,1999,04,275
I21+I22+I46+I50,ucd,1999,05,311
I21+I22+I46+I50,ucd,1999,06,283
I21+I22+I46+I50,ucd,1999,07,257
I21+I22+I46+I50,ucd,1999,08,247
I21+I22+I46+I50,ucd,1999,09,246
I21+I22+I46+I50,ucd,1999,10,285
I21+I22+I46+I50,ucd,1999,11,274
I21+I22+I46+I50,ucd,1999,12,348
I21+I22+I46+I50,ucd,2000,01,334
I21+I22+I46+I50,ucd,2000,02,265
I21+I22+I46+I50,ucd,2000,03,297
I21+I22+I46+I50,ucd,2000,04,261
I21+I22+I46+I50,ucd,2000,05,273
I21+I22+I46+I50,ucd,2000,06,243
I21+I22+I46+I50,ucd,2000,07,266
I21+I22+I46+I50,ucd,2000,08,279
I21+I22+I46+I50,ucd,2000,09,260
I21+I22+I46+I50,ucd,2000,10,227
I21+I22+I46+I50,ucd,2000,11,303
I21+I22+I46+I50,ucd,2000,12,268
I21+I22+I46+I50,ucd,2001,01,299
I21+I22+I46+I50,ucd,2001,02,277
I21+I22+I46+I50,ucd,2001,03,324
I21+I22+I46+I50,ucd,2001,04,277
I21+I22+I46+I50,ucd,2001,05,270
I21+I22+I46+I50,ucd,2001,06,231
I21+I22+I46+I50,ucd,2001,07,251
I21+I22+I46+I50,ucd,2001,08,234
I21+I22+I46+I50,ucd,2001,09,239
I21+I22+I46+I50,ucd,2001,10,297
I21+I22+I46+I50,ucd,2001,11,275
I21+I22+I46+I50,ucd,2001,12,341
I21+I22+I46+I50,ucd,2002,01,288
I21+I22+I46+I50,ucd,2002,02,284
I21+I22+I46+I50,ucd,2002,03,314
I21+I22+I46+I50,ucd,2002,04,278
I21+I22+I46+I50,ucd,2002,05,292
I21+I22+I46+I50,ucd,2002,06,256
I21+I22+I46+I50,ucd,2002,07,258
I21+I22+I46+I50,ucd,2002,08,247
I21+I22+I46+I50,ucd,2002,09,236
I21+I22+I46+I50,ucd,2002,10,266
I21+I22+I46+I50,ucd,2002,11,248
I21+I22+I46+I50,ucd,2002,12,295
I21+I22+I46+I50,ucd,2003,01,291
I21+I22+I46+I50,ucd,2003,02,249
I21+I22+I46+I50,ucd,2003,03,301
I21+I22+I46+I50,ucd,2003,04,246
I21+I22+I46+I50,ucd,2003,05,252
I21+I22+I46+I50,ucd,2003,06,230
I21+I22+I46+I50,ucd,2003,07,217
I21+I22+I46+I50,ucd,2003,08,212
I21+I22+I46+I50,ucd,2003,09,214
I21+I22+I46+I50,ucd,2003,10,248
I21+I22+I46+I50,ucd,2003,11,288
I21+I22+I46+I50,ucd,2003,12,323
I21+I22+I46+I50,ucd,2004,01,310
I21+I22+I46+I50,ucd,2004,02,237
I21+I22+I46+I50,ucd,2004,03,245
I21+I22+I46+I50,ucd,2004,04,242
I21+I22+I46+I50,ucd,2004,05,205
I21+I22+I46+I50,ucd,2004,06,220
I21+I22+I46+I50,ucd,2004,07,288
I21+I22+I46+I50,ucd,2004,08,254
I21+I22+I46+I50,ucd,2004,09,231
I21+I22+I46+I50,ucd,2004,10,244
I21+I22+I46+I50,ucd,2004,11,235
I21+I22+I46+I50,ucd,2004,12,250
I21+I22+I46+I50,ucd,2005,01,278
I21+I22+I46+I50,ucd,2005,02,245
I21+I22+I46+I50,ucd,2005,03,260
I21+I22+I46+I50,ucd,2005,04,265
I21+I22+I46+I50,ucd,2005,05,264
I21+I22+I46+I50,ucd,2005,06,229
I21+I22+I46+I50,ucd,2005,07,247
I21+I22+I46+I50,ucd,2005,08,248
I21+I22+I46+I50,ucd,2005,09,231
I21+I22+I46+I50,ucd,2005,10,251
I21+I22+I46+I50,ucd,2005,11,257
