qseqid      sseqid     pident  length mismatch gaps qstart qend  sstart send  evalue bitscore
NC_045512.2 LF512950.1 100.000 23     0        0    3176   3198  2181   2203  2.3    43.6
NC_045512.2 LF512949.1 100.000 23     0        0    3176   3198  2181   2203  2.3    43.6
NC_045512.2 LF512944.1 100.000 23     0        0    3176   3198  2274   2296  2.3    43.6
NC_045512.2 LF442154.1 100.000 23     0        0    3176   3198  2181   2203  2.3    43.6
NC_045512.2 LF442153.1 100.000 23     0        0    3176   3198  2181   2203  2.3    43.6
NC_045512.2 LF442148.1 100.000 23     0        0    3176   3198  2274   2296  2.3    43.6
NC_045512.2 MA033721.1 90.323  31     3        0    3144   3174  1313   1283  8.2    41.7
NC_045512.2 LZ084196.1 96.000  25     1        0    17075  17099 1850   1874  8.2    41.7
NC_045512.2 LF406704.1 100.000 22     0        0    3177   3198  2291   2312  8.2    41.7
NC_045512.2 LF406702.1 100.000 22     0        0    3177   3198  2370   2391  8.2    41.7
NC_045512.2 LF406701.1 100.000 22     0        0    3177   3198  2202   2223  8.2    41.7
NC_045512.2 LF406700.1 100.000 22     0        0    3177   3198  2497   2518  8.2    41.7
NC_045512.2 LF406698.1 100.000 22     0        0    3177   3198  2329   2350  8.2    41.7
NC_045512.2 LF406697.1 100.000 22     0        0    3177   3198  3172   3193  8.2    41.7
NC_045512.2 LF406696.1 100.000 22     0        0    3177   3198  2463   2484  8.2    41.7
NC_045512.2 LF512958.1 100.000 22     0        0    3176   3197  2142   2163  8.2    41.7
NC_045512.2 LF512957.1 100.000 22     0        0    3176   3197  2142   2163  8.2    41.7
NC_045512.2 LF512954.1 100.000 22     0        0    3176   3197  2142   2163  8.2    41.7
NC_045512.2 LF442162.1 100.000 22     0        0    3176   3197  2142   2163  8.2    41.7
NC_045512.2 LF442161.1 100.000 22     0        0    3176   3197  2142   2163  8.2    41.7
NC_045512.2 LF442158.1 100.000 22     0        0    3176   3197  2142   2163  8.2    41.7
NC_045512.2 LF413894.1 92.857  28     2        0    20399  20426 1368   1395  8.2    41.7
NC_045512.2 LF413893.1 92.857  28     2        0    20399  20426 1456   1483  8.2    41.7
NC_045512.2 LF413892.1 92.857  28     2        0    20399  20426 1527   1554  8.2    41.7
NC_045512.2 LF413891.1 92.857  28     2        0    20399  20426 1451   1478  8.2    41.7
NC_045512.2 LF413890.1 92.857  28     2        0    20399  20426 1605   1632  8.2    41.7
